tconst,startYear
tt41637157,1949
tt44433783,1950
tt35089174,1950
tt21083620,1950
tt78754128,1951
tt29419596,1951
tt52646905,1951
tt66411746,1952
tt86205770,1952
tt14446467,1952
tt68998328,1952
tt79019050,1952
tt26984802,1952
tt58571514,1952
tt60980776,1952
tt37167168,1952
tt29842698,1952
tt95838308,1952
tt93511486,1952
tt31042076,1952
tt69684346,1952
tt15401538,1952
tt48890324,1952
tt38320705,1952
tt64686212,1952
tt37912500,1952
tt62571408,1952
tt48159165,1952
tt92625268,1952
tt63243641,1952
tt18261538,1952
tt50475565,1952
tt93809604,1952
tt42144517,1952
tt64485696,1952
tt24694839,1952
tt24805930,1953
tt41423718,1953
tt27309357,1953
tt75701365,1953
tt48671051,1953
tt58821724,1953
tt27047477,1953
tt71850052,1953
tt95806511,1953
tt98107128,1953
tt55476860,1953
tt77224684,1953
tt82026198,1953
tt54408461,1953
tt74746748,1953
tt52519013,1953
tt10297703,1953
tt85848991,1953
tt15798251,1954
tt31397169,1954
tt38228307,1954
tt93082852,1954
tt96123651,1954
tt35426312,1954
tt43779559,1954
tt97766009,1954
tt84537181,1954
tt37520702,1954
tt78340867,1954
tt43883949,1954
tt92879731,1954
tt57544331,1954
tt27678832,1954
tt65418917,1954
tt52742618,1954
tt52277616,1954
tt29114212,1954
tt46901159,1954
tt14719229,1954
tt97716988,1954
tt84566261,1954
tt88619319,1954
tt29632588,1954
tt57907837,1955
tt96637450,1955
tt74751717,1955
tt91207995,1955
tt71591672,1955
tt24415073,1955
tt45437101,1955
tt13003721,1955
tt16192188,1955
tt57108006,1955
tt15255250,1955
tt59862311,1955
tt93470918,1955
tt14891203,1955
tt75723417,1955
tt85585941,1955
tt72333985,1955
tt28943606,1955
tt75113375,1955
tt72326429,1955
tt18857694,1955
tt21790976,1955
tt32575375,1955
tt91885795,1955
tt68555071,1956
tt91509873,1956
tt18713349,1956
tt85181719,1956
tt71447056,1956
tt58558964,1956
tt19589698,1956
tt90645404,1956
tt97182635,1956
tt40002435,1956
tt19709481,1956
tt99882893,1956
tt19469310,1956
tt37842113,1956
tt57226717,1956
tt82832007,1956
tt52064487,1956
tt78492564,1956
tt83872088,1956
tt28934812,1956
tt75285524,1956
tt10481265,1956
tt27420387,1956
tt69594188,1956
tt92526474,1956
tt91660884,1956
tt42011981,1956
tt20825361,1956
tt15774769,1956
tt23967046,1956
tt40739632,1956
tt11645502,1956
tt21206631,1956
tt70040474,1956
tt10362213,1956
tt52745727,1956
tt50814018,1956
tt10736001,1956
tt59704208,1957
tt68149610,1957
tt72562981,1957
tt93262433,1957
tt42955828,1957
tt38010447,1957
tt83610079,1957
tt15770194,1957
tt34553649,1957
tt65917376,1957
tt80769521,1957
tt12359327,1957
tt17857549,1957
tt91691806,1957
tt81341294,1957
tt45559944,1957
tt77401510,1957
