tconst,startYear
tt26467034,1978
tt84757145,1978
tt16243659,1978
tt73008964,1978
tt92657482,1978
tt54422786,1978
tt96686628,1978
tt25789792,1978
tt34799214,1978
tt43677898,1978
tt55133645,1978
tt18371802,1978
tt81038873,1978
tt65759221,1978
tt84361893,1978
tt45994951,1978
tt51868997,1978
tt79805868,1978
tt35905072,1978
tt57614156,1978
tt28247558,1978
tt19475862,1978
tt33061383,1978
tt28360405,1978
tt72500647,1978
tt71815293,1978
tt74839527,1978
tt21260903,1978
tt35485446,1978
tt39220385,1978
tt48800647,1978
tt36343396,1978
tt41359464,1978
tt18509845,1978
tt92750091,1978
tt61331829,1978
tt85603003,1978
tt50015205,1978
tt72596837,1978
tt61383901,1978
tt87454721,1978
tt55803286,1978
tt62057133,1978
tt54779533,1978
tt35733148,1978
tt68949489,1978
tt87033776,1978
tt51077187,1978
tt62170566,1978
tt70780204,1978
tt16978823,1978
tt42278340,1978
tt73814767,1978
tt73984945,1978
tt95761456,1978
tt55679974,1978
tt76159009,1978
tt69680128,1978
tt76940354,1978
tt17514364,1978
tt90883160,1978
tt24074127,1978
tt33548970,1978
tt52298577,1978
tt24161042,1978
tt84747377,1978
tt17561918,1978
tt59350536,1978
tt68229018,1978
tt42156818,1978
tt69832989,1978
tt33331675,1978
tt80241474,1978
tt54976024,1978
tt19687261,1978
tt74615611,1978
tt65238548,1978
tt46987735,1978
tt97158043,1978
tt84393500,1978
tt41779752,1978
tt43323276,1978
tt47093406,1978
tt70410467,1978
tt49295843,1978
tt33263851,1978
tt49003712,1978
tt36060078,1978
tt63375465,1978
tt66244969,1978
tt22882758,1978
tt98455803,1978
tt97705444,1978
tt57531264,1978
tt97590875,1978
tt29161167,1978
tt50388248,1978
tt66988158,1978
tt63032731,1978
tt11701653,1978
tt12975163,1978
tt84723995,1978
tt30589062,1978
tt57595887,1978
tt32478602,1978
tt44068977,1978
tt53052553,1978
tt80476989,1978
tt21454138,1978
tt66252149,1978
tt94820606,1978
tt26464520,1978
tt28175356,1978
tt86711935,1978
tt94322812,1978
tt17174315,1978
tt17755064,1978
tt36404438,1978
tt57632208,1978
tt30017420,1978
tt60913101,1978
tt57976500,1978
tt62985139,1978
tt23977911,1978
tt54642749,1978
tt92429654,1978
tt52436581,1978
tt25358909,1978
tt31389178,1978
tt44989059,1978
tt30755999,1978
tt32661825,1978
tt24589159,1978
tt91743395,1978
tt46386273,1978
tt78603268,1978
tt76936599,1978
tt64992372,1978
tt47441586,1978
tt56534692,1978
tt87171316,1978
tt14996805,1978
tt46871931,1978
tt19542294,1978
tt67402265,1978
tt43399714,1978
tt88641455,1978
tt44268037,1978
tt28669363,1978
tt79011790,1978
tt96536191,1978
tt12224749,1978
tt28613399,1978
tt21783307,1978
tt75514487,1978
tt55389895,1978
tt40532163,1978
tt65735535,1978
tt77740856,1978
tt84736647,1978
tt89206323,1978
tt34248400,1978
tt63526109,1978
tt75839584,1978
tt91433384,1978
tt40552172,1978
tt27837196,1978
tt57935353,1978
tt97268912,1978
tt36349263,1978
tt55813541,1978
tt41586915,1978
tt53252168,1978
tt92276142,1978
tt44335370,1978
tt83703884,1978
tt62423647,1978
tt67849693,1978
tt82682199,1978
tt89483658,1978
tt61978374,1978
tt11754954,1978
tt12540805,1978
tt24748830,1978
tt92480033,1978
tt68677772,1978
tt95217856,1978
tt38944579,1978
tt83397916,1978
tt53264960,1978
tt83075128,1978
tt76783094,1978
tt88590289,1978
tt65409897,1978
tt56600989,1978
tt37956708,1978
tt67787402,1978
tt83002568,1978
tt57526841,1978
tt28832713,1978
tt57571217,1978
tt86442931,1978
tt97640940,1978
tt55812138,1978
tt80054608,1978
tt88884906,1978
tt99404129,1978
tt50832330,1978
tt27878204,1978
tt23507096,1978
tt49230350,1978
tt61018398,1978
tt89482632,1978
tt61047407,1978
tt25078225,1978
tt67650899,1978
tt16669242,1978
tt12773841,1978
tt91036423,1978
tt96610222,1978
tt44222818,1978
tt14309680,1978
tt18265062,1978
tt69960610,1978
tt75719850,1978
tt75759180,1978
tt97200082,1978
tt23298084,1978
tt45025015,1978
tt35944759,1978
tt47573718,1978
tt53587029,1978
tt21280074,1978
tt32148593,1978
tt18534419,1978
tt12500836,1978
tt81418739,1978
tt83633540,1978
tt86994029,1978
tt76396274,1978
tt12210751,1978
tt44856431,1978
tt65814684,1978
tt42400896,1978
tt85390299,1978
tt18859301,1978
tt47832648,1978
tt67930562,1978
tt24387032,1978
tt83899043,1978
tt97280194,1978
tt99584760,1978
tt73001291,1978
tt49090322,1978
tt30059174,1978
tt73955924,1978
tt96126268,1978
tt91313131,1978
tt34707851,1978
tt40664775,1978
tt70710760,1978
tt23493374,1978
tt57975174,1978
tt70826859,1978
tt33070897,1978
tt53766331,1978
tt15779237,1978
tt54188834,1978
tt10209883,1978
tt52939458,1978
tt86335527,1978
tt88928359,1978
tt69973490,1978
tt21468177,1978
tt54593915,1978
tt10261511,1978
tt42999562,1978
tt15294978,1978
tt76858781,1978
tt71161100,1978
tt15256232,1978
tt52889842,1978
tt98145802,1978
tt64339083,1978
tt61583828,1978
tt20135022,1978
tt63532021,1978
tt16841523,1978
tt71289694,1978
tt59198033,1978
tt60037992,1978
tt79628531,1978
tt76319953,1978
tt59894291,1978
tt19404656,1978
tt39265583,1978
tt81693809,1978
tt95108507,1978
tt20293850,1978
tt80766180,1978
tt72200418,1978
tt73324696,1978
tt11865505,1978
tt52388186,1978
tt84718809,1978
tt38777300,1978
tt22924394,1978
tt10905998,1978
tt69973588,1978
tt73479282,1978
tt48362226,1978
tt42233094,1978
tt37807208,1978
tt59116568,1978
tt24840067,1978
tt35825243,1978
tt89443544,1978
tt68181030,1978
tt63857909,1978
tt49779085,1978
tt31094010,1978
tt84156907,1978
tt24998608,1978
tt66063454,1978
tt23919174,1978
tt78808562,1978
tt50170890,1978
tt84410765,1978
tt93878739,1978
tt95138294,1978
tt46463826,1978
tt17879550,1978
tt11388947,1978
tt77565759,1978
tt12013382,1978
tt74778874,1978
tt69017034,1978
tt37177707,1978
tt91877476,1978
tt97227794,1978
tt63768551,1978
tt35264314,1978
tt41617678,1978
tt22134736,1978
tt46533680,1978
tt34224441,1978
tt85082617,1978
tt85225698,1978
tt99973113,1978
tt97126074,1978
tt89648435,1978
tt85113853,1978
tt60411698,1978
tt49762455,1978
